COOPID, YEAR, MONTH, DAY, PRECIPITATION, MAX TEMP, MIN TEMP, MEAN TEMP
80945,2015,4,27,0.00000,92.00000,76.00000, 
80945,2015,4,28,0.06000,82.00000,67.00000, 
80945,2015,4,29,0.20000,87.00000,71.00000, 
80945,2015,4,30,0.00000,78.00000,66.00000, 
80945,2015,5,1,0.00000,81.00000,62.00000, 
80945,2015,5,2,0.00000,82.00000,62.00000, 
80945,2015,5,3,0.00000,84.00000,63.00000, 
80945,2015,5,4,0.00000,83.00000,63.00000, 
80945,2015,5,5,0.00000,84.00000,66.00000, 
80945,2015,5,6,0.00000,86.00000,67.00000, 
80945,2015,5,7,0.00000,86.00000,67.00000, 
80945,2015,5,8,0.00000,87.00000,64.00000, 
80945,2015,5,9,0.00000,91.00000,66.00000, 
80945,2015,5,10,0.00000,92.00000,66.00000, 
80945,2015,5,11,0.00000,93.00000,66.00000, 
80945,2015,5,12,0.60000,92.00000,72.00000, 
80945,2015,5,13,0.00000,91.00000,72.00000, 
80945,2015,5,14,0.32000,91.00000,72.00000, 
80945,2015,5,15,0.00000,91.00000,71.00000, 
80945,2015,5,16,0.62000,90.00000,72.00000, 
80945,2015,5,17,1.75000,89.00000,71.00000, 
80945,2015,5,18,0.01000,90.00000,71.00000, 
80945,2015,5,19,0.00000,88.00000,73.00000, 
80945,2015,5,20,0.00000,90.00000,75.00000, 
80945,2015,5,21,0.00000,89.00000,73.00000, 
80945,2015,5,22,0.00000,92.00000,73.00000, 
80945,2015,5,23,0.00000,92.00000,72.00000, 
80945,2015,5,24,0.00000,92.00000,75.00000, 
80945,2015,5,25,0.19000,94.00000,74.00000, 
80945,2015,5,26,0.02000,92.00000,75.00000, 
80945,2015,5,27,0.00000,91.00000,73.00000, 
80945,2015,5,28,0.00000,89.00000,70.00000, 
80945,2015,5,29,0.00000,89.00000,68.00000, 
80945,2015,5,30,0.18000,93.00000,71.00000, 
80945,2015,5,31,0.35000,92.00000,71.00000, 
80945,2015,6,1,0.10000,92.00000,70.00000, 
80945,2015,6,2,1.72000,77.00000,69.00000, 
80945,2015,6,3,0.00000,87.00000,70.00000, 
80945,2015,6,4,0.00000,91.00000,71.00000, 
80945,2015,6,5,0.03000,91.00000,71.00000, 
80945,2015,6,6,0.02000,85.00000,73.00000, 
80945,2015,6,7,0.11000,89.00000,71.00000, 
80945,2015,6,8,0.00000,93.00000,72.00000, 
80945,2015,6,9,0.55000,93.00000,74.00000, 
80945,2015,6,10,0.06000,90.00000,72.00000, 
80945,2015,6,11,0.35000,88.00000,72.00000, 
80945,2015,6,12,0.35000,92.00000,72.00000, 
80945,2015,6,13,0.00000,91.00000,76.00000, 
80945,2015,6,14,0.00000,93.00000,76.00000, 
80945,2015,6,15,0.00000,93.00000,74.00000, 
80945,2015,6,16,0.01000,93.00000,75.00000, 
80945,2015,6,17,0.00000,95.00000,76.00000, 
80945,2015,6,18,0.00000,95.00000,78.00000, 
80945,2015,6,19,0.00000,93.00000,78.00000, 
80945,2015,6,20,0.00000,92.00000,77.00000, 
80945,2015,6,21,0.00000,95.00000,75.00000, 
80945,2015,6,22,1.00000,97.00000,75.00000, 
80945,2015,6,23,0.45000,96.00000,76.00000, 
80945,2015,6,24,0.00000,96.00000,74.00000, 
80945,2015,6,25,0.00000,95.00000,76.00000, 
80945,2015,6,26,0.00000,95.00000,74.00000, 
80945,2015,6,27,0.00000,95.00000,74.00000, 
80945,2015,6,28,0.00000,95.00000,74.00000, 
80945,2015,6,29,0.00000,93.00000,78.00000, 
80945,2015,6,30,0.00000,95.00000,78.00000, 
80945,2015,7,1,0.00000,93.00000,78.00000, 
80945,2015,7,2,0.00000,96.00000,76.00000, 
80945,2015,7,3,0.00000,97.00000,75.00000, 
80945,2015,7,4,0.00000,96.00000,73.00000, 
80945,2015,7,5,0.62000,96.00000,73.00000, 
80945,2015,7,6,0.02000,93.00000,72.00000, 
80945,2015,7,7,0.03000,92.00000,74.00000, 
80945,2015,7,8,0.00000,95.00000,73.00000, 
80945,2015,7,9,0.00000,94.00000,76.00000, 
80945,2015,7,10,0.00000,96.00000,76.00000, 
80945,2015,7,11,0.00000,95.00000,77.00000, 
80945,2015,7,12,0.61000,88.00000,73.00000, 
80945,2015,7,13,0.00000,94.00000,75.00000, 
80945,2015,7,14,0.01000,92.00000,78.00000, 
80945,2015,7,15,0.30000,92.00000,76.00000, 
80945,2015,7,16,0.34000,89.00000,76.00000, 
80945,2015,7,17,0.40000,89.00000,76.00000, 
80945,2015,7,18,0.17000,89.00000,77.00000, 
80945,2015,7,19,0.00000,93.00000,77.00000, 
80945,2015,7,20,0.00000,94.00000,78.00000, 
80945,2015,7,21,0.70000,92.00000,77.00000, 
80945,2015,7,22,0.00000,93.00000,79.00000, 
80945,2015,7,23,1.47000,89.00000,79.00000, 
80945,2015,7,24,0.85000,86.00000,75.00000, 
80945,2015,7,25,0.42000,82.00000,76.00000, 
80945,2015,7,26,0.92000,91.00000,76.00000, 
80945,2015,7,27,1.20000,86.00000,76.00000, 
80945,2015,7,28,0.01000,90.00000,80.00000, 
80945,2015,7,29,0.00000,91.00000,79.00000, 
80945,2015,7,30,0.20000,93.00000,76.00000, 
80945,2015,7,31,0.16000,91.00000,76.00000, 
80945,2015,8,1,0.35000,89.00000,72.00000, 
80945,2015,8,2,0.17000,84.00000,74.00000, 
80945,2015,8,3,1.51000,86.00000,72.00000, 
80945,2015,8,4,0.00000,92.00000,75.00000, 
80945,2015,8,5,0.00000,94.00000,76.00000, 
80945,2015,8,6,0.00000,94.00000,76.00000, 
80945,2015,8,7,0.00000,93.00000,79.00000, 
80945,2015,8,8,0.49000,89.00000,77.00000, 
80945,2015,8,9,0.33000,92.00000,76.00000, 
80945,2015,8,10,0.76000,92.00000,76.00000, 
80945,2015,8,11,0.01000,92.00000,77.00000, 
80945,2015,8,12,0.00000,92.00000,79.00000, 
80945,2015,8,13,0.40000,94.00000,76.00000, 
80945,2015,8,14,1.13000,90.00000,74.00000, 
80945,2015,8,15,0.34000,91.00000,74.00000, 
80945,2015,8,16,1.37000,92.00000,73.00000, 
80945,2015,8,17,0.69000,94.00000,73.00000, 
80945,2015,8,18,0.84000,94.00000,77.00000, 
80945,2015,8,19,0.09000,94.00000,76.00000, 
80945,2015,8,20,0.01000,94.00000,76.00000, 
80945,2015,8,21,0.00000,94.00000,78.00000, 
80945,2015,8,22,0.00000,96.00000,77.00000, 
80945,2015,8,23,0.00000,94.00000,79.00000, 
80945,2015,8,24,0.00000,96.00000,80.00000, 
80945,2015,8,25,0.00000,95.00000,79.00000, 
80945,2015,8,26,0.00000,95.00000,77.00000, 
80945,2015,8,27,0.10000,86.00000,76.00000, 
80945,2015,8,28,0.19000,91.00000,75.00000, 
80945,2015,8,29,0.00000,92.00000,73.00000, 
80945,2015,8,30,0.00000,92.00000,74.00000, 
80945,2015,8,31,0.02000,92.00000,74.00000, 
80945,2015,9,1,0.00000,93.00000,77.00000, 
80945,2015,9,2,0.00000,95.00000,78.00000, 
80945,2015,9,3,0.00000,93.00000,77.00000, 
80945,2015,9,4,0.05000,93.00000,76.00000, 
80945,2015,9,5,0.17000,91.00000,74.00000, 
80945,2015,9,6,1.15000,91.00000,74.00000, 
80945,2015,9,7,0.62000,91.00000,74.00000, 
80945,2015,9,8,0.09000,91.00000,77.00000, 
80945,2015,9,9,0.02000,91.00000,77.00000, 
80945,2015,9,10,0.00000,93.00000,79.00000, 
80945,2015,9,11,0.00000,95.00000,78.00000, 
80945,2015,9,12,0.80000,95.00000,76.00000, 
80945,2015,9,13,0.52000,86.00000,75.00000, 
80945,2015,9,14,0.00000,89.00000,73.00000, 
80945,2015,9,15,0.01000,89.00000,76.00000, 
80945,2015,9,16,0.19000,86.00000,75.00000, 
80945,2015,9,17,1.42000,82.00000,75.00000, 
